original-user-id,mapped-user-id
179347,0
269605,1
7072,2
168186,3
88275,4
183116,5
219624,6
121620,7
259974,8
103577,9
36213,10
170502,11
93500,12
104389,13
63404,14
68559,15
135478,16
8240,17
198338,18
111880,19
224023,20
263083,21
146057,22
195974,23
205828,24
130560,25
257669,26
21109,27
131581,28
179975,29
66783,30
84173,31
121578,32
85820,33
138099,34
258645,35
104058,36
65470,37
153674,38
227771,39
244209,40
10029,41
268240,42
58674,43
11974,44
221635,45
106258,46
201567,47
17602,48
129419,49
83631,50
128946,51
37584,52
122656,53
244744,54
47964,55
231132,56
9249,57
110626,58
27283,59
172926,60
271265,61
57786,62
148600,63
76838,64
135242,65
135704,66
249594,67
174714,68
59464,69
149180,70
256770,71
238952,72
228149,73
206720,74
53126,75
138407,76
76814,77
116723,78
159940,79
39326,80
127797,81
253698,82
250967,83
89459,84
6941,85
273666,86
126812,87
272120,88
2545,89
62241,90
203051,91
69310,92
197909,93
171519,94
163239,95
89610,96
262442,97
264557,98
85510,99
219491,100
74053,101
57313,102
218025,103
106692,104
153481,105
111608,106
32003,107
199548,108
234948,109
174615,110
278137,111
238467,112
36137,113
1192,114
82730,115
174646,116
225093,117
177861,118
223140,119
189743,120
253896,121
114213,122
245226,123
221542,124
111538,125
187848,126
182164,127
31520,128
263738,129
276859,130
108126,131
157281,132
181650,133
199825,134
211189,135
203981,136
258022,137
171090,138
275364,139
218240,140
173831,141
212434,142
205654,143
98407,144
226479,145
198177,146
82156,147
39120,148
276602,149
139257,150
70101,151
112701,152
125845,153
76766,154
215026,155
14698,156
97391,157
57159,158
154818,159
68438,160
111068,161
131502,162
58232,163
11251,164
86877,165
763,166
133661,167
33281,168
270870,169
54402,170
256457,171
78545,172
92912,173
226153,174
269337,175
275787,176
54192,177
74892,178
102955,179
81537,180
188416,181
77579,182
196078,183
271698,184
223769,185
51510,186
85955,187
103970,188
127997,189
41224,190
47777,191
41300,192
101866,193
226294,194
54691,195
155585,196
144270,197
157210,198
17160,199
57783,200
82124,201
272496,202
108773,203
142372,204
148784,205
203063,206
226730,207
224149,208
54820,209
117904,210
259052,211
152295,212
262796,213
274056,214
250867,215
26457,216
183651,217
171983,218
228291,219
181525,220
106926,221
7286,222
52276,223
218249,224
151967,225
54931,226
100452,227
111380,228
32956,229
213032,230
246311,231
128774,232
117662,233
99165,234
103618,235
240399,236
89097,237
52395,238
83303,239
131787,240
166334,241
241412,242
82756,243
92518,244
80143,245
45638,246
81083,247
103022,248
161928,249
261448,250
55345,251
158676,252
199992,253
182809,254
185993,255
216059,256
57202,257
246550,258
52864,259
252031,260
242741,261
55487,262
228939,263
104562,264
144876,265
192121,266
20435,267
190203,268
192921,269
39654,270
51706,271
259089,272
264543,273
269463,274
12819,275
141233,276
233133,277
246589,278
68555,279
263825,280
167307,281
134031,282
10899,283
232638,284
51926,285
200797,286
235792,287
247864,288
30135,289
167944,290
43354,291
274679,292
142076,293
208435,294
134137,295
728,296
65238,297
162809,298
54130,299
11287,300
67193,301
154789,302
211321,303
222305,304
197784,305
87865,306
253537,307
33197,308
97268,309
228389,310
198754,311
173033,312
118349,313
256944,314
267722,315
123791,316
71651,317
50459,318
175822,319
57002,320
151917,321
26762,322
86801,323
116987,324
56201,325
49731,326
235294,327
166309,328
66527,329
101793,330
203963,331
255478,332
251172,333
34805,334
119915,335
210154,336
166202,337
244794,338
248572,339
17186,340
206585,341
176478,342
249567,343
54068,344
55218,345
108138,346
181759,347
264255,348
203982,349
82854,350
173784,351
223034,352
93794,353
217999,354
9896,355
50601,356
184636,357
59300,358
271554,359
231977,360
278500,361
162394,362
39711,363
71171,364
274157,365
4193,366
77104,367
275439,368
63507,369
23050,370
207377,371
250629,372
273572,373
10554,374
22071,375
122880,376
27334,377
57109,378
211798,379
59216,380
142063,381
215831,382
167310,383
92084,384
185135,385
58814,386
35508,387
172614,388
83016,389
115183,390
116236,391
160501,392
174496,393
196375,394
201098,395
138815,396
116763,397
152435,398
139056,399
204788,400
85509,401
200824,402
197954,403
185011,404
156829,405
68187,406
175469,407
139992,408
109829,409
132448,410
57142,411
194720,412
278168,413
37343,414
44531,415
114096,416
